SYMBOL,BUY1,BUY2,SELL1,SELL2,SELL3,SLHIT
PPL,206,198,212,216.5,220,192
TREET,32.8,30,34.25,35.95,38.5,28.9
FECTC,145,138,153,159,166,134
TELE,11.3,11,12.2,12.95,13.8,10.65
EFERT,122,215,229,235,242,209
SEARL,104,100,108.5,113,118,97.9
PREMA,40,38,41.5,43.65,45.8,36.9
PSO,454,444,462,468,476,439
MLCF,105,101,108.25,111.9,114.5,98.9
BFAGRO,39.5,37.5,42.8,45,47.5,36.4
BFBIO,153.3,149.5,157.5,161.15,166,146.8
CEPB,33.2,31,36.15,38.25,40,29.9
PAEL,52.5,51,55.3,57.85,60,50.4
PIBTL,15.3,14.8,16.4,17.6,18.8,13.8
